Date,Close/Last,Volume,Open,High,Low
01/03/2025,$243.36,40244110,$243.36,$244.18,$241.89
01/02/2025,$243.85,55740730,$248.93,$249.10,$241.8201
12/31/2024,$250.42,39480720,$252.44,$253.28,$249.43
12/30/2024,$252.20,35557540,$252.23,$253.50,$250.75
12/27/2024,$255.59,42355320,$257.83,$258.70,$253.06
12/26/2024,$259.02,27262980,$258.19,$260.10,$257.63
12/24/2024,$258.20,23234710,$255.49,$258.21,$255.29
12/23/2024,$255.27,40858770,$254.77,$255.65,$253.45
12/20/2024,$254.49,147495300,$248.04,$255.00,$245.69
12/19/2024,$249.79,60882260,$247.50,$252.00,$247.0949
12/18/2024,$248.05,56774100,$252.16,$254.28,$247.74
12/17/2024,$253.48,51356360,$250.08,$253.83,$249.78
12/16/2024,$251.04,51694750,$247.99,$251.38,$247.65
12/13/2024,$248.13,33155290,$247.815,$249.2902,$246.24
12/12/2024,$247.96,32777530,$246.89,$248.74,$245.68
12/11/2024,$246.49,45205810,$247.96,$250.80,$246.2601
12/10/2024,$247.77,36914810,$246.89,$248.21,$245.34
12/09/2024,$246.75,44649230,$241.83,$247.24,$241.75
12/06/2024,$242.84,36870620,$242.905,$244.63,$242.08
