optimizer,dropout_rate,units,batch_size,epochs,loss
adam,0.2,50,16,50,0.21362054347991943
adam,0.2,50,16,100,0.032004304230213165
adam,0.2,50,32,50,0.1870780885219574
adam,0.2,50,32,100,0.030318118631839752
adam,0.2,100,16,50,0.08863218873739243
adam,0.2,100,16,100,0.04303894564509392
adam,0.2,100,32,50,0.14300104975700378
adam,0.2,100,32,100,0.019636087119579315
adam,0.3,50,16,50,0.19011829793453217
adam,0.3,50,16,100,0.006216839887201786
adam,0.3,50,32,50,0.20112933218479156
adam,0.3,50,32,100,0.01292780414223671
adam,0.3,100,16,50,0.1272730827331543
adam,0.3,100,16,100,0.027661383152008057
adam,0.3,100,32,50,0.18047963082790375
adam,0.3,100,32,100,0.013050842098891735
rmsprop,0.2,50,16,50,0.08930163830518723
rmsprop,0.2,50,16,100,0.003709689946845174
rmsprop,0.2,50,32,50,0.05341704934835434
rmsprop,0.2,50,32,100,0.06778404861688614
rmsprop,0.2,100,16,50,0.22125796973705292
rmsprop,0.2,100,16,100,0.05496460944414139
rmsprop,0.2,100,32,50,0.028565896674990654
rmsprop,0.2,100,32,100,0.0012724553234875202
rmsprop,0.3,50,16,50,0.058553148061037064
rmsprop,0.3,50,16,100,0.02995525673031807
rmsprop,0.3,50,32,50,0.14909614622592926
rmsprop,0.3,50,32,100,0.007253631018102169
rmsprop,0.3,100,16,50,0.22538906335830688
rmsprop,0.3,100,16,100,0.0010303054004907608
rmsprop,0.3,100,32,50,0.026744812726974487
rmsprop,0.3,100,32,100,0.0012586097000166774
